"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
930,-1.773674,930,-1.789109,930,-1.796951,930,-1.800522,1710,-0.5362953,1980,-0.09932637,2340,0.4882978, , ,930,-1.829354,930,-1.841961,930,-1.84886,930,-1.848975,1710,-0.5880782,1980,-0.1510717,2340,0.4358781, , ,
960,-1.725605,960,-1.741221,960,-1.749156,960,-1.752574,1740,-0.4876912,2010,-0.0494169,2370,0.5378353, , ,960,-1.781013,960,-1.793776,960,-1.80086,960,-1.80129,1740,-0.5390768,2010,-0.1014352,2370,0.4848748, , ,
990,-1.676669,990,-1.692418,990,-1.700086,990,-1.703456,1770,-0.4385243,2040,0.0003767399,2400,0.5858476, , ,990,-1.732112,990,-1.745157,990,-1.752533,990,-1.752319,1770,-0.490219,2040,-0.0518244,2400,0.5329057, , ,
1020,-1.62805,1020,-1.643661,1020,-1.65135,1020,-1.654856,1800,-0.3897225,2070,0.04939524,2430,0.6340566, , ,1020,-1.684058,1020,-1.69647,1020,-1.703745,1020,-1.703641,1800,-0.4415431,2070,-0.002838141,2430,0.5806976, , ,
1050,-1.578581,1050,-1.594295,1050,-1.602178,1050,-1.605567,1830,-0.3411587,2100,0.09805916,2460,0.6828443, , ,1050,-1.634482,1050,-1.647278,1050,-1.654473,1050,-1.654442,1830,-0.3930851,2100,0.04535183,2460,0.6297522, , ,
1080,-1.528975,1080,-1.544802,1080,-1.552886,1080,-1.556081,1860,-0.2927,2130,0.146854,2490,0.73189, , ,1080,-1.585073,1080,-1.597924,1080,-1.605198,1080,-1.605539,1860,-0.3445848,2130,0.09429881,2490,0.6786692, , ,
1110,-1.479621,1110,-1.496504,1110,-1.503863,1110,-1.506932,1890,-0.2440411,2160,0.1955794,2520,0.7825642, , ,1110,-1.535935,1110,-1.549272,1110,-1.556281,1110,-1.556395,1890,-0.2963377,2160,0.1427522,2520,0.7294107, , ,
1140,-1.431209,1140,-1.447915,1140,-1.455415,1140,-1.45832,1920,-0.1956932,2190,0.2442544,2550,0.8333004, , ,1140,-1.487871,1140,-1.501372,1140,-1.507961,1140,-1.508146,1920,-0.248054,2190,0.1914141,2550,0.7800899, , ,
1170,-1.382112,1170,-1.398937,1170,-1.406279,1170,-1.409813,1950,-0.1471376,2220,0.2935947,2580,0.883106, , ,1170,-1.438683,1170,-1.452224,1170,-1.459131,1170,-1.4592,1950,-0.1994883,2220,0.2401561,2580,0.8298729, , ,
1200,-1.332712,1200,-1.349809,1200,-1.357388,1200,-1.360605,1980,-0.09855741,2250,0.3423382,2610,0.9321745, , ,1200,-1.390004,1200,-1.403447,1200,-1.410177,1200,-1.410705,1980,-0.1508427,2250,0.289297,2610,0.8788296, , ,
1230,-1.283877,1230,-1.301264,1230,-1.308708,1230,-1.31188,2010,-0.0485273,2280,0.3913406,2640,0.9810058, , ,1230,-1.341038,1230,-1.354826,1230,-1.361577,1230,-1.361977,2010,-0.1011242,2280,0.3377861,2640,0.9275112, , ,
1260,-1.236352,1260,-1.252975,1260,-1.261461,1260,-1.264196,2040,0.001080357,2310,0.4402614,2670,1.025519, , ,1260,-1.293613,1260,-1.306948,1260,-1.313558,1260,-1.314308,2040,-0.05115768,2310,0.3868253,2670,0.9756223, , ,
1290,-1.187728,1290,-1.204724,1290,-1.212725,1290,-1.215715,2070,0.05073775,2340,0.4894043, , , , ,1290,-1.244859,1290,-1.258654,1290,-1.265621,1290,-1.265731,2070,-0.002218636,2340,0.4354595, , , , ,
1320,-1.138263,1320,-1.155426,1320,-1.163877,1320,-1.166713,2100,0.09907744,2370,0.5386651, , , , ,1320,-1.196174,1320,-1.209836,1320,-1.216619,1320,-1.217131,2100,0.04626019,2370,0.4844231, , , , ,
1350,-1.089317,1350,-1.106543,1350,-1.115003,1350,-1.117908,2130,0.1480606,2400,0.5866239, , , , ,1350,-1.146795,1350,-1.160563,1350,-1.167935,1350,-1.168167,2130,0.09499714,2400,0.5324554, , , , ,
1380,-1.042003,1380,-1.05808,1380,-1.066489,1380,-1.069477,2160,0.196715,2430,0.6344895, , , , ,1380,-1.098771,1380,-1.11244,1380,-1.119605,1380,-1.11984,2160,0.1437561,2430,0.5801593, , , , ,
1410,-0.9939286,1410,-1.010826,1410,-1.018769,1410,-1.021155,2190,0.2457844,2460,0.6834359, , , , ,1410,-1.05046,1410,-1.064011,1410,-1.07106,1410,-1.071586,2190,0.1922784,2460,0.629, , , , ,
1440,-0.9462367,1440,-0.9628878,1440,-0.9707324,1440,-0.9733922,2220,0.2944653,2490,0.7325008, , , , ,1440,-1.004213,1440,-1.017336,1440,-1.023774,1440,-1.024216,2220,0.24149,2490,0.6779777, , , , ,
1470,-0.8981571,1470,-0.9150625,1470,-0.9228479,1470,-0.9255332,2250,0.3439584,2520,0.7832292, , , , ,1470,-0.9563906,1470,-0.9694531,1470,-0.9759302,1470,-0.9764182,2250,0.2905833,2520,0.7283078, , , , ,
1500,-0.8481786,1500,-0.8647969,1500,-0.8725168,1500,-0.8753371,2280,0.3929258,2550,0.8338796, , , , ,1500,-0.9067848,1500,-0.9192882,1500,-0.9258535,1500,-0.9263017,2280,0.3394978,2550,0.7789098, , , , ,
1530,-0.798049,1530,-0.8145666,1530,-0.8225081,1530,-0.8253042,2310,0.4418075,2580,0.8838001, , , , ,1530,-0.8561213,1530,-0.8694936,1530,-0.8759908,1530,-0.8765298,2310,0.3885124,2580,0.8286994, , , , ,
1560,-0.748141,1560,-0.7652102,1560,-0.7730509,1560,-0.77577,2340,0.4912949,2610,0.932666, , , , ,1560,-0.8068077,1560,-0.8198702,1560,-0.8260426,1560,-0.8270136,2340,0.4374124,2610,0.8774666, , , , ,
1590,-0.6984597,1590,-0.7156951,1590,-0.7241364,1590,-0.7263707,2370,0.5403926,2640,0.9815702, , , , ,1590,-0.7575595,1590,-0.7703878,1590,-0.7771142,1590,-0.7780616,2370,0.486597,2640,0.9260383, , , , ,
1620,-0.650244,1620,-0.6666257,1620,-0.6752597,1620,-0.677601,2400,0.5885321,2670,1.029763, , , , ,1620,-0.7087445,1620,-0.7217466,1620,-0.7284642,1620,-0.7291368,2400,0.5344607,2670,0.974055, , , , ,
1650,-0.6018672,1650,-0.6187802,1650,-0.6272191,1650,-0.6295284,2430,0.63663,2700,1.078316, , , , ,1650,-0.6612592,1650,-0.6738935,1650,-0.6808076,1650,-0.6814389,2430,0.5825203,2700,1.022447, , , , ,
1680,-0.5534299,1680,-0.5704336,1680,-0.5789518,1680,-0.5815625,2460,0.6854797,2730,1.127259, , , , ,1680,-0.6128068,1680,-0.625557,1680,-0.6323804,1680,-0.6332172,2460,0.6315046,2730,1.071093, , , , ,
1710,-0.5039853,1710,-0.5219787,1710,-0.5303408,1710,-0.5327667,2490,0.7348764,2760,1.175631, , , , ,1710,-0.5641731,1710,-0.5767546,1710,-0.5838411,1710,-0.5847608,2490,0.6803599,2760,1.119583, , , , ,
1740,-0.4558201,1740,-0.4735011,1740,-0.4816832,1740,-0.4837895,2520,0.7854662,2790,1.223169, , , , ,1740,-0.5154538,1740,-0.5281964,1740,-0.5347881,1740,-0.5359438,2520,0.7311902,2790,1.166847, , , , ,
1770,-0.4066474,1770,-0.4247264,1770,-0.4329311,1770,-0.4347569,2550,0.8363903,2820,1.270946, , , , ,1770,-0.4665582,1770,-0.4799178,1770,-0.4866203,1770,-0.487166,2550,0.7818531,2820,1.214503, , , , ,
1800,-0.3577569,1800,-0.3757679,1800,-0.3843503,1800,-0.3865372,2580,0.8865023,2850,1.319828, , , , ,1800,-0.4180101,1800,-0.4313446,1800,-0.4378431,1800,-0.4385585,2580,0.8315187,2850,1.263133, , , , ,
1830,-0.3089469,1830,-0.3272878,1830,-0.335845,1830,-0.3381301,2610,0.9353922,2880,1.369048, , , , ,1830,-0.3694116,1830,-0.382736,1830,-0.389402,1830,-0.3906612,2610,0.8806359,2880,1.312178, , , , ,
1860,-0.2605852,1860,-0.2786717,1860,-0.2870111,1860,-0.2892859,2640,0.9842142,2910,1.418057, , , , ,1860,-0.3209038,1860,-0.3343542,1860,-0.3407104,1860,-0.3420889,2640,0.9292003,2910,1.360832, , , , ,
1890,-0.2117601,1890,-0.2300053,1890,-0.239153,1890,-0.2409292,2670,1.032385,2940,1.466995, , , , ,1890,-0.2728745,1890,-0.2861259,1890,-0.2925766,1890,-0.293839,2670,0.9775727,2940,1.409634, , , , ,
